# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,263,169,145,99.19,66.863,294.3485,3995.8,1513.2,70,4,3,0.695,24,0.609
chorus,42,1,240,180,157,115.48,56.9441,259.6713,3518.8,1183.6,67,4,3,0.641,24,0.688
chorus,42,2,245,162,146,124.64,59.8134,254.1738,6576.0,3372.0,68,7,6,0.791,23,0.652
chorus,42,3,250,166,151,132.48,59.8463,255.0632,3842.4,1403.0,68,5,3,0.6,23,0.541
chorus,42,4,247,144,130,134.07,45.31,242.0076,3810.2,2024.8,68,5,2,0.427,24,0.64
chorus,42,5,249,162,144,129.9,50.6354,268.1563,3886.0,2382.0,67,7,2,0.204,24,0.594
chorus,42,6,255,125,105,140.12,41.1068,233.8066,3004.0,1479.0,72,5,2,0.389,24,0.582
chorus,42,7,232,119,103,128.2,40.1547,237.1322,5143.2,3098.8,68,6,3,0.482,23,0.632
chorus,42,8,228,149,122,118.66,53.2367,245.8229,4508.6,2574.6,68,8,4,0.475,24,0.501
chorus,42,9,237,170,154,132.48,38.792,200.4836,1717.8,632.6,68,4,1,0.136,24,0.576
chorus,43,0,261,142,132,86.35,35.5831,227.878,2186.2,1301.4,74,4,1,0.233,23,0.398
chorus,43,1,254,170,148,117.04,34.2762,192.3536,1993.6,790.8,75,4,1,0.188,23,0.556
chorus,43,2,254,175,148,133.23,39.0001,185.9448,2592.8,1067.6,76,5,2,0.308,24,0.6
chorus,43,3,256,182,151,130.46,45.0171,204.1028,3030.4,977.6,76,5,2,0.4,24,0.589
chorus,43,4,242,110,91,118.21,28.0138,206.2689,3841.2,2672.2,71,8,2,0.195,23,0.396
chorus,43,5,231,130,114,120.15,30.1916,176.5523,1155.0,585.0,66,5,0,0.0,23,0.409
chorus,43,6,242,171,135,129.32,26.4661,168.0291,2253.2,1056.6,71,4,1,0.167,24,0.488
chorus,43,7,233,176,156,129.23,34.4226,165.5683,3515.8,917.4,70,5,3,0.6,23,0.585
chorus,43,8,228,154,138,121.04,22.2421,167.4357,3248.8,2319.6,73,6,1,0.098,24,0.464
chorus,43,9,226,153,130,127.91,20.7206,146.2959,1993.2,1142.4,72,4,0,0.071,24,0.6
chorus,44,0,277,135,112,92.0,49.9587,267.8418,4351.6,2736.0,75,6,4,0.625,22,0.476
chorus,44,1,258,169,154,109.63,51.4807,230.5434,3748.2,1478.4,69,6,3,0.474,24,0.57
chorus,44,2,259,136,122,115.97,46.1812,202.2362,2243.8,1056.6,67,5,2,0.4,23,0.433
chorus,44,3,272,166,146,137.0,41.4203,195.6766,3746.0,2111.4,73,5,2,0.442,24,0.571
chorus,44,4,261,160,143,130.02,38.1184,188.3397,3854.4,2368.6,70,6,2,0.408,24,0.474
chorus,44,5,260,158,141,121.99,42.2791,178.6943,3962.2,1258.0,72,6,3,0.437,23,0.424
chorus,44,6,258,157,139,138.83,35.6544,161.3731,2898.8,826.4,70,4,2,0.461,23,0.479
chorus,44,7,241,119,96,132.02,18.1688,147.9619,1205.0,725.0,71,3,0,0.0,24,0.54
chorus,44,8,227,134,110,116.14,24.5474,142.5203,1758.2,1022.4,70,2,1,0.462,24,0.519
chorus,44,9,219,131,111,108.29,29.325,174.4678,1859.8,540.0,66,6,2,0.323,23,0.456
greedy_nearest,42,0,264,145,126,85.45,36.0965,294.3485,2435.0,1566.4,72,4,1,0.221,21,0.609
greedy_nearest,42,1,242,131,113,90.04,32.5907,266.1922,1600.8,840.4,68,4,1,0.178,23,0.688
greedy_nearest,42,2,251,123,110,106.0,34.3084,264.8429,2199.8,1232.6,69,7,1,0.143,19,0.652
greedy_nearest,42,3,252,114,101,101.63,26.2481,267.2622,1743.2,996.6,67,5,0,0.071,22,0.541
greedy_nearest,42,4,265,126,109,114.68,33.2121,263.0578,1751.8,792.0,70,5,0,0.093,21,0.64
greedy_nearest,42,5,261,120,101,105.91,30.0742,290.1129,1799.6,1288.6,71,7,0,0.0,23,0.594
greedy_nearest,42,6,269,114,95,119.19,27.4699,262.553,1358.0,880.0,71,5,0,0.0,23,0.582
greedy_nearest,42,7,262,114,96,116.14,22.6128,268.3477,2490.2,1511.4,69,6,2,0.316,21,0.632
greedy_nearest,42,8,257,132,116,110.53,30.1388,276.8047,1895.8,952.6,69,8,1,0.125,23,0.501
greedy_nearest,42,9,263,123,107,107.49,27.3968,232.5625,1333.0,786.0,69,4,0,0.0,20,0.576
greedy_nearest,43,0,269,81,74,65.33,17.5849,227.878,1794.6,1202.8,74,4,0,0.083,21,0.398
greedy_nearest,43,1,272,139,118,88.63,24.2037,202.0352,1360.0,770.0,76,4,0,0.0,24,0.556
