# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,278,114,94,66.4,73.5776,451.2807,4070.8,2336.0,75,4,3,0.495,21,0.274
chorus,42,1,270,119,105,74.35,74.8391,403.9267,3668.8,2375.2,72,4,2,0.391,20,0.307
chorus,42,2,271,143,130,79.57,74.6123,392.1281,5975.8,4430.8,75,7,2,0.245,22,0.316
chorus,42,3,260,89,79,82.07,50.7927,358.6695,3738.4,2551.0,72,5,2,0.286,23,0.215
chorus,42,4,266,117,100,87.05,48.1769,342.2049,4025.2,3313.0,73,5,0,0.053,21,0.328
chorus,42,5,258,119,101,86.15,57.6698,365.2112,3739.2,3234.2,71,7,0,0.0,23,0.367
chorus,42,6,270,75,67,90.38,45.1172,323.6979,2841.6,1998.2,75,5,1,0.156,22,0.251
chorus,43,0,302,66,57,59.73,36.3017,394.3523,2385.2,1662.6,86,4,1,0.233,20,0.138
chorus,43,1,292,110,97,73.01,57.3534,377.1899,1952.2,1235.8,84,4,0,0.062,21,0.253
chorus,43,2,286,141,118,81.34,70.7506,354.6066,2573.6,1582.0,82,5,0,0.086,22,0.303
chorus,43,3,291,143,128,96.46,74.841,332.891,3145.4,1468.4,82,5,2,0.4,24,0.419
chorus,43,4,266,60,53,79.76,36.0805,337.0745,3961.2,2981.6,74,8,0,0.135,19,0.179
chorus,43,5,269,84,75,81.05,46.0033,305.8639,1345.0,970.0,74,5,0,0.0,20,0.189
chorus,43,6,287,84,69,82.7,34.0243,288.8079,2478.2,2133.2,79,4,0,0.0,21,0.146
chorus,44,0,292,109,89,71.6,61.2416,427.9905,3849.8,3028.4,77,6,2,0.197,20,0.319
chorus,44,1,285,107,96,77.07,54.0392,372.5953,3823.2,2773.8,74,6,1,0.17,23,0.314
chorus,44,2,275,76,68,73.48,48.0726,339.6691,2118.2,1406.6,70,5,1,0.138,21,0.163
chorus,44,3,283,122,100,85.16,48.1989,323.3485,2649.2,1759.6,75,5,1,0.2,21,0.305
chorus,44,4,277,89,78,77.07,36.1153,311.5844,3418.2,2663.2,72,6,1,0.192,19,0.249
chorus,44,5,288,86,72,80.54,35.4602,300.8635,3750.8,2628.2,75,6,1,0.185,22,0.19
chorus,44,6,285,98,82,87.59,43.6481,291.0914,2742.4,1975.2,73,4,1,0.298,21,0.176
greedy_nearest,42,0,279,54,47,50.57,27.863,451.2807,2302.6,1829.0,75,4,1,0.221,17,0.274
greedy_nearest,42,1,268,50,43,50.49,21.6437,414.4477,1730.8,1515.8,72,4,0,0.0,17,0.307
greedy_nearest,42,2,271,75,67,58.54,32.476,416.726,1867.0,1264.6,74,7,0,0.053,18,0.316
greedy_nearest,42,3,258,33,31,49.98,17.3736,396.7808,1767.2,1612.2,71,5,0,0.0,16,0.215
greedy_nearest,42,4,268,76,66,59.02,32.4142,392.7026,2015.0,1685.0,74,5,0,0.0,14,0.328
greedy_nearest,42,5,268,66,53,64.77,24.3545,397.3845,1831.6,1560.6,72,7,0,0.0,22,0.367
greedy_nearest,42,6,273,48,43,67.69,26.2948,389.8045,1371.0,1153.0,75,5,0,0.0,14,0.251
greedy_nearest,43,0,293,33,30,46.48,14.7942,394.3523,1902.6,1533.8,85,4,0,0.067,13,0.138
greedy_nearest,43,1,295,73,60,59.18,24.106,375.083,1475.0,1175.0,83,4,0,0.0,21,0.253
greedy_nearest,43,2,288,98,88,66.63,41.6727,361.7549,1440.0,1000.0,82,5,0,0.0,22,0.303
greedy_nearest,43,3,285,118,97,80.23,47.8795,361.5055,1628.8,943.0,80,5,1,0.129,23,0.419
greedy_nearest,43,4,274,33,33,59.57,18.5106,352.8097,1894.6,1468.8,76,8,0,0.049,18,0.179
greedy_nearest,43,5,271,67,60,66.35,30.8098,323.9943,1355.0,1055.0,76,5,0,0.0,18,0.189
greedy_nearest,43,6,279,58,47,62.47,21.0397,316.0007,1398.0,1163.0,78,4,0,0.0,17,0.146
greedy_nearest,44,0,296,79,66,55.03,39.0151,427.9905,2272.4,1756.6,76,6,1,0.09,22,0.319
greedy_nearest,44,1,297,68,57,60.31,28.1978,384.8035,1673.8,1388.8,77,6,0,0.0,21,0.314
greedy_nearest,44,2,291,41,35,56.18,22.1318,360.487,1640.8,1280.0,75,5,0,0.062,17,0.163
greedy_nearest,44,3,296,68,58,69.11,30.0767,356.0217,2098.0,1613.2,75,5,1,0.1,19,0.305
greedy_nearest,44,4,277,51,43,59.14,20.0112,349.4881,1394.0,1176.0,73,6,0,0.0,17,0.249
greedy_nearest,44,5,297,38,38,60.96,16.3858,341.8447,2155.8,1677.4,76,6,1,0.108,21,0.19
greedy_nearest,44,6,281,50,42,60.98,24.2042,339.3169,1417.0,1207.0,72,4,0,0.0,14,0.176
greedy_value,42,0,272,70,62,52.24,45.0557,451.2807,3130.8,2328.0,72,4,2,0.346,21,0.274
greedy_value,42,1,260,56,48,54.42,26.2668,420.5731,2315.4,2075.4,70,4,0,0.0,17,0.307
greedy_value,42,2,269,84,70,63.22,38.1914,418.8997,3660.2,2861.2,73,7,1,0.184,19,0.316
greedy_value,42,3,253,39,36,53.95,18.4157,395.8271,2219.4,2039.4,69,5,0,0.0,13,0.215
greedy_value,42,4,269,76,70,64.12,38.1415,393.7583,3246.4,2642.2,74,5,1,0.111,17,0.328
greedy_value,42,5,262,67,57,66.54,34.6952,416.6441,2512.6,2217.6,70,7,0,0.0,20,0.367
greedy_value,42,6,271,65,56,72.36,32.1407,385.2257,1601.4,1321.4,73,5,0,0.0,18,0.251
greedy_value,43,0,281,31,26,45.94,13.2898,394.3523,2280.2,1712.6,82,4,0,0.117,14,0.138
greedy_value,43,1,284,71,60,56.02,24.0898,385.7702,1651.4,1120.0,82,4,0,0.094,21,0.253
greedy_value,43,2,283,105,92,68.79,48.5976,375.2617,1995.8,1134.2,78,5,0,0.086,24,0.303
greedy_value,43,3,284,117,100,82.58,53.0442,368.3857,2541.0,1648.4,81,5,2,0.257,23,0.419
greedy_value,43,4,271,29,29,60.73,16.6474,357.3068,2798.0,2165.0,76,8,0,0.08,15,0.179
greedy_value,43,5,269,55,48,66.81,28.5543,328.7274,1345.0,1105.0,76,5,0,0.0,17,0.189
greedy_value,43,6,278,63,52,66.88,22.9058,317.7364,1390.0,1130.0,77,4,0,0.0,19,0.146
greedy_value,44,0,296,75,66,56.3,39.5975,427.9905,3513.8,2998.0,76,6,1,0.09,19,0.319
greedy_value,44,1,294,68,58,62.71,34.5442,382.8058,2194.0,1737.4,75,6,0,0.056,21,0.314
greedy_value,44,2,291,46,40,58.84,28.3009,354.6133,2029.2,1457.6,74,5,1,0.138,18,0.163
greedy_value,44,3,293,76,66,72.67,31.3406,347.4153,2855.8,2136.2,75,5,1,0.2,18,0.305
greedy_value,44,4,279,54,43,64.93,25.2503,345.1888,2140.6,1736.8,71,6,0,0.051,18,0.249
greedy_value,44,5,295,38,35,63.34,14.0189,337.4087,3083.2,2619.8,76,6,1,0.108,18,0.19
greedy_value,44,6,283,62,57,66.74,31.3826,334.4174,2072.6,1553.2,72,4,1,0.188,20,0.176
random,42,0,283,43,41,36.7,26.9428,451.2807,1562.4,1357.4,75,4,0,0.0,18,0.274
random,42,1,271,55,49,39.71,28.9501,424.5221,1355.0,1110.0,72,4,0,0.0,20,0.307
random,42,2,279,76,64,46.76,33.1992,426.2713,1832.6,1512.6,75,7,0,0.0,21,0.316
random,42,3,262,43,34,41.11,19.0169,406.1974,1963.4,1586.0,72,5,0,0.08,14,0.215
random,42,4,275,61,50,46.38,25.5379,398.8199,1826.4,1576.4,74,5,0,0.0,19,0.328
random,42,5,270,77,69,48.99,35.3733,404.7659,1600.6,1252.6,73,7,0,0.0,19,0.367
random,42,6,278,40,32,51.24,19.5394,392.3374,1830.6,1670.6,74,5,0,0.0,16,0.251
random,43,0,297,32,32,35.38,17.004,394.3523,1703.8,1543.8,85,4,0,0.0,15,0.138
random,43,1,300,47,38,40.39,18.8131,369.4525,1500.0,1310.0,84,4,0,0.0,19,0.253
random,43,2,297,73,55,52.76,28.5316,365.7926,1488.0,1213.0,82,5,0,0.0,20,0.303
random,43,3,290,97,81,55.31,42.4113,371.5611,1641.8,1045.0,80,5,1,0.129,21,0.419
random,43,4,288,34,32,43.86,16.0927,372.8964,1981.0,1453.6,79,8,0,0.085,18,0.179
random,43,5,286,43,38,45.79,18.426,343.555,1436.0,1246.0,78,5,0,0.0,15,0.189
random,43,6,291,38,34,44.21,15.3377,341.9537,1916.6,1746.6,81,4,0,0.0,15,0.146
random,44,0,301,65,56,44.7,28.6882,427.9905,1916.2,1636.2,79,6,0,0.0,21,0.319
random,44,1,301,70,65,45.84,31.9144,390.9811,2285.4,1729.0,78,6,0,0.062,24,0.314
random,44,2,297,25,23,41.59,19.3002,363.2225,1816.4,1515.6,76,5,1,0.138,13,0.163
random,44,3,296,69,59,56.05,25.7081,357.7996,1617.8,1188.0,76,5,1,0.1,20,0.305
random,44,4,284,36,32,41.78,15.6737,352.9878,1551.2,1391.2,75,6,0,0.0,14,0.249
random,44,5,298,35,26,46.22,10.4422,344.4361,1874.2,1744.2,76,6,0,0.0,20,0.19
random,44,6,288,41,33,46.43,16.5802,345.6659,1645.8,1473.8,75,4,0,0.0,16,0.176
