# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,60,28,21,19.06,6.8953,194.0929,303.0,198.0,26,2,0,0.0,12,0.693
chorus,42,1,60,27,17,16.98,8.2042,211.4014,833.4,550.6,23,3,0,0.143,10,0.582
chorus,42,2,60,32,27,18.01,7.1036,208.4661,300.0,165.0,26,3,0,0.0,10,0.5
chorus,42,3,48,6,2,12.23,0.7611,206.1399,240.0,230.0,23,2,0,0.0,2,0.282
chorus,42,4,59,35,25,17.24,9.6239,200.6148,690.6,367.8,27,1,1,0.643,12,0.558
chorus,42,5,44,16,16,11.45,6.4353,188.0116,220.0,140.0,23,0,0,0.0,7,0.286
chorus,42,6,56,15,9,19.98,1.5504,203.4814,286.0,235.0,26,3,0,0.0,6,0.591
chorus,42,7,46,10,6,12.35,1.5346,192.8328,230.0,200.0,23,2,0,0.0,5,0.301
chorus,42,8,51,28,18,18.6,3.3854,190.2421,258.0,165.0,29,1,0,0.0,11,0.483
chorus,42,9,46,18,11,11.01,5.2258,193.8504,230.0,175.0,24,1,0,0.0,5,0.19
chorus,42,10,55,29,22,17.06,9.0135,194.8563,275.0,165.0,27,1,0,0.0,12,0.491
chorus,42,11,49,16,13,14.93,5.3581,193.1796,245.0,180.0,23,2,0,0.0,9,0.444
chorus,42,12,51,8,7,11.61,1.821,200.9612,848.4,813.4,25,2,0,0.0,6,0.353
chorus,42,13,54,14,11,13.65,4.4519,187.5161,270.0,215.0,23,0,0,0.0,8,0.383
chorus,43,0,53,24,18,18.46,8.388,260.6882,265.0,175.0,23,5,0,0.0,8,0.585
chorus,43,1,56,33,18,18.93,8.6873,232.3138,280.0,190.0,23,2,0,0.0,9,0.599
chorus,43,2,57,23,14,17.99,8.6376,217.8555,285.0,215.0,23,1,0,0.0,10,0.615
chorus,43,3,60,24,19,18.62,18.7711,238.8544,300.0,205.0,23,1,0,0.0,9,0.521
chorus,43,4,60,28,21,22.7,19.7214,228.7667,300.0,195.0,25,0,0,0.0,12,0.797
chorus,43,5,52,24,17,16.91,14.7969,242.1903,260.0,175.0,23,2,0,0.0,8,0.474
chorus,43,6,58,29,20,20.45,13.456,221.6186,290.0,190.0,24,0,0,0.0,11,0.614
chorus,43,7,53,30,24,19.01,19.7652,240.0117,265.0,145.0,21,3,0,0.0,9,0.623
chorus,43,8,60,10,9,17.45,7.8015,229.0042,360.0,315.0,24,2,0,0.0,5,0.369
chorus,43,9,57,23,15,19.42,7.7482,201.3079,570.4,210.0,27,1,0,0.25,8,0.467
chorus,43,10,52,38,30,20.05,8.4947,206.0235,260.0,110.0,25,2,0,0.0,9,0.537
chorus,43,11,59,30,25,21.73,6.9568,202.4141,295.0,170.0,27,2,0,0.0,9,0.602
chorus,43,12,51,21,17,20.61,4.7192,185.0382,255.0,170.0,27,0,0,0.0,8,0.534
chorus,43,13,60,38,28,26.21,7.9456,184.011,300.0,160.0,32,0,0,0.0,13,0.916
chorus,44,0,52,27,20,12.58,6.3167,209.0732,260.0,160.0,20,1,0,0.0,13,0.352
chorus,44,1,52,15,12,16.58,4.1121,197.7691,454.2,394.2,27,2,0,0.0,5,0.445
chorus,44,2,53,20,14,11.36,3.9815,195.9799,513.2,443.2,23,1,0,0.0,8,0.202
chorus,44,3,57,23,16,21.95,5.5132,191.5235,285.0,205.0,26,1,0,0.0,6,0.594
chorus,44,4,60,23,18,20.97,6.7441,201.5133,1204.0,888.0,25,3,1,0.333,11,0.667
chorus,44,5,56,26,18,16.98,5.5657,215.2029,474.2,384.2,27,3,0,0.0,9,0.4
chorus,44,6,51,25,15,13.73,4.9461,187.4646,255.0,180.0,23,0,0,0.0,10,0.325
chorus,44,7,48,28,15,16.39,4.5415,193.9811,240.0,165.0,26,2,0,0.0,8,0.511
chorus,44,8,60,15,8,16.36,2.3688,184.7661,300.0,260.0,27,0,0,0.0,6,0.348
chorus,44,9,57,14,9,12.29,3.7556,208.3063,1154.2,1109.2,28,4,0,0.0,7,0.307
chorus,44,10,59,31,19,19.6,5.0196,184.656,295.0,200.0,29,1,0,0.0,8,0.645
chorus,44,11,60,30,23,21.18,6.1302,180.5413,300.0,185.0,26,0,0,0.0,13,0.731
chorus,44,12,40,12,6,8.71,2.3214,192.1138,1192.8,914.6,21,2,0,0.176,4,0.328
chorus,44,13,47,11,7,9.6,1.6315,203.1745,1043.6,1008.6,24,4,0,0.0,4,0.181
greedy_nearest,42,0,60,28,20,17.4,3.7038,194.0929,309.0,209.0,29,2,0,0.0,9,0.693
greedy_nearest,42,1,60,25,21,19.38,3.6989,210.043,638.6,533.6,31,3,0,0.0,10,0.582
greedy_nearest,42,2,60,24,15,17.19,1.7664,210.4442,306.0,228.0,29,3,0,0.0,9,0.5
greedy_nearest,42,3,60,6,2,12.41,1.269,212.2201,303.0,293.0,23,2,0,0.0,2,0.282
greedy_nearest,42,4,60,28,19,15.6,5.5203,206.1571,497.8,205.0,27,1,1,0.643,8,0.558
greedy_nearest,42,5,60,12,8,11.57,4.306,195.0035,310.0,270.0,29,0,0,0.0,4,0.286
greedy_nearest,42,6,60,16,11,17.59,1.5658,212.8914,316.0,254.0,31,3,0,0.0,7,0.591
greedy_nearest,42,7,60,11,9,12.13,0.9842,202.4722,306.0,261.0,24,2,0,0.0,5,0.301
greedy_nearest,42,8,60,23,14,16.64,1.303,200.1858,306.0,233.0,22,1,0,0.0,8,0.483
greedy_nearest,42,9,60,13,9,9.46,4.3957,207.2992,300.0,255.0,24,1,0,0.0,6,0.19
greedy_nearest,42,10,60,24,21,14.54,8.8053,207.8469,303.0,198.0,23,1,0,0.0,10,0.491
greedy_nearest,42,11,60,20,11,13.65,4.6518,207.7889,317.0,262.0,26,2,0,0.0,7,0.444
greedy_nearest,42,12,60,6,4,10.88,4.0093,214.8429,715.6,695.6,26,2,0,0.0,2,0.353
greedy_nearest,42,13,60,14,11,12.25,4.6192,200.8538,303.0,248.0,28,0,0,0.0,7,0.383
greedy_nearest,43,0,60,19,16,18.7,3.8213,260.6882,300.0,220.0,23,5,0,0.0,6,0.585
greedy_nearest,43,1,60,31,21,18.96,5.965,231.4973,300.0,195.0,23,2,0,0.0,10,0.599
greedy_nearest,43,2,60,25,16,18.64,6.5713,220.7841,300.0,220.0,21,1,0,0.0,10,0.615
greedy_nearest,43,3,60,24,15,20.68,5.5584,219.144,300.0,225.0,21,1,0,0.0,8,0.521
greedy_nearest,43,4,60,36,25,22.93,7.6702,210.4955,300.0,175.0,22,0,0,0.0,10,0.797
greedy_nearest,43,5,60,21,18,18.46,6.0117,224.1527,300.0,210.0,24,2,0,0.0,7,0.474
greedy_nearest,43,6,60,24,15,22.15,5.8608,206.3793,300.0,225.0,22,0,0,0.0,7,0.614
greedy_nearest,43,7,60,29,22,18.68,6.6686,226.7591,300.0,190.0,24,3,0,0.0,5,0.623
greedy_nearest,43,8,60,10,4,17.38,0.956,217.6522,309.0,286.0,31,2,0,0.0,3,0.369
greedy_nearest,43,9,60,21,13,19.39,4.1842,211.119,588.4,238.0,30,1,0,0.25,6,0.467
