# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,255,174,156,95.87,57.7083,231.4388,6735.6,3117.6,70,10,6,0.551,24,0.609
chorus,42,1,239,174,146,119.34,43.4746,231.2126,5691.0,2259.6,65,14,4,0.262,24,0.688
chorus,42,2,227,149,132,116.45,54.3627,251.4082,7581.4,3221.6,65,17,7,0.412,23,0.652
chorus,42,3,236,152,136,120.3,45.5012,233.095,6882.4,2852.4,69,15,7,0.4,23,0.541
chorus,42,4,214,132,116,110.89,48.8838,245.5419,6244.8,2820.2,62,19,7,0.34,23,0.64
chorus,42,5,221,144,123,119.13,42.1818,250.8975,7059.4,4060.8,63,19,7,0.326,24,0.594
chorus,42,6,220,118,99,114.75,38.8065,216.0178,6960.2,3595.6,66,17,7,0.436,23,0.582
chorus,42,7,222,114,103,120.72,32.9188,164.372,6037.6,3831.6,66,10,3,0.319,24,0.632
chorus,42,8,207,136,121,105.54,59.0481,263.8338,9600.6,4803.8,62,19,10,0.489,24,0.501
chorus,42,9,218,155,136,122.79,57.2624,223.5028,6251.4,1921.2,64,15,6,0.381,24,0.576
chorus,42,10,215,153,136,123.32,61.1286,203.5546,6728.8,1773.0,66,14,9,0.658,24,0.662
chorus,42,11,185,108,94,103.44,29.6021,196.2402,4806.2,2260.8,61,14,4,0.252,23,0.545
chorus,42,12,202,132,118,114.28,49.5253,192.3036,9893.6,4349.6,65,18,9,0.478,24,0.649
chorus,42,13,179,87,78,89.07,33.7632,214.1313,8091.2,4609.0,64,18,6,0.307,23,0.407
chorus,43,0,211,112,100,66.34,34.6494,276.0151,6484.6,3931.6,61,18,5,0.257,22,0.398
chorus,43,1,222,141,121,93.29,50.0405,253.1097,7413.6,2742.0,67,17,7,0.383,21,0.556
chorus,43,2,215,143,124,102.49,58.0863,254.0954,6841.6,2599.2,65,18,6,0.297,23,0.6
chorus,43,3,217,153,129,108.5,40.9533,251.6712,6079.4,2941.0,69,20,4,0.213,23,0.589
chorus,43,4,196,100,82,87.01,28.7999,241.1172,6246.0,3208.6,62,21,6,0.268,24,0.396
chorus,43,5,210,125,111,102.11,33.4272,213.7477,6331.0,3557.4,63,15,3,0.19,22,0.409
