# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,255,168,146,103.26,90.1003,580.9084,4975.2,2305.2,65,12,4,0.322,23,0.564
chorus,42,1,256,174,150,112.54,97.8051,527.4228,5898.4,1936.4,64,11,5,0.455,23,0.608
chorus,42,2,260,169,143,114.2,79.3222,474.5074,4544.6,1752.0,65,9,4,0.424,24,0.572
chorus,43,0,236,152,132,90.57,77.9805,560.123,5328.0,2106.0,59,12,4,0.353,23,0.398
chorus,43,1,221,151,127,91.69,77.1088,534.7892,5917.0,1908.4,56,12,6,0.495,24,0.497
chorus,43,2,252,159,127,109.24,64.6742,507.76,6537.6,3812.4,64,14,6,0.408,23,0.537
greedy_value,42,0,256,132,116,80.69,50.6831,580.9084,2663.0,1398.2,65,12,2,0.161,21,0.564
greedy_value,42,1,253,127,114,88.7,48.7367,505.8458,3955.4,2220.6,64,11,3,0.245,24,0.608
greedy_value,42,2,266,119,95,99.22,36.8384,474.56,2952.4,1567.0,67,9,3,0.241,24,0.572
greedy_value,43,0,236,101,82,62.74,31.7782,560.123,3510.6,2310.6,59,12,1,0.145,20,0.398
greedy_value,43,1,213,97,82,67.27,39.0917,521.596,4432.2,3022.4,54,12,3,0.237,18,0.497
greedy_value,43,2,233,95,80,73.18,25.2965,509.941,3074.4,2158.2,59,14,1,0.071,19,0.537
random,42,0,255,118,100,64.28,54.2149,580.9084,2353.6,1461.2,65,12,2,0.167,23,0.564
random,42,1,254,113,98,69.27,46.8386,542.5516,3183.8,1764.8,64,11,3,0.273,24,0.608
random,42,2,262,94,83,62.23,40.6289,513.127,3291.4,2143.4,67,9,2,0.185,22,0.572
random,43,0,236,71,58,48.91,24.8274,560.123,3083.6,1636.2,59,12,1,0.147,22,0.398
random,43,1,212,81,70,47.64,40.4979,553.9149,3120.0,1897.4,53,12,3,0.282,23,0.497
random,43,2,229,83,68,53.56,34.1426,538.5732,2965.4,1506.2,58,14,3,0.201,20,0.537
