# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,301,208,186,113.77,91.9285,528.3685,5952.2,2381.4,76,11,5,0.455,24,0.529
chorus,42,1,302,196,157,129.14,77.8636,495.9849,6866.8,3709.0,77,10,5,0.46,24,0.61
chorus,42,2,287,179,150,130.76,75.1821,443.272,4542.2,2236.2,74,5,4,0.8,24,0.541
chorus,42,3,284,166,147,132.82,58.4323,417.7861,3079.2,1553.0,74,5,2,0.4,24,0.483
chorus,42,4,285,194,170,135.08,74.9551,412.5368,3216.6,1155.2,74,8,3,0.359,24,0.638
chorus,42,5,294,165,135,132.04,65.327,420.7263,4071.6,1805.6,76,8,3,0.344,24,0.491
chorus,42,6,305,200,167,143.29,104.7001,475.2284,6596.4,2514.4,79,12,7,0.524,24,0.58
chorus,43,0,277,168,140,101.41,56.1977,344.6565,3840.8,1765.0,70,6,2,0.383,24,0.443
chorus,43,1,276,177,146,110.67,47.014,284.0428,3962.4,1708.6,69,4,2,0.447,24,0.537
chorus,43,2,272,184,149,117.13,44.3478,305.907,2331.0,864.4,69,8,1,0.125,24,0.525
chorus,43,3,291,192,161,134.11,58.7878,291.1709,8095.0,3975.4,73,11,7,0.622,24,0.598
chorus,43,4,284,186,159,128.4,42.3439,244.4369,2417.6,874.4,71,5,1,0.2,24,0.489
chorus,43,5,293,168,145,124.73,47.4173,248.5894,7349.0,3641.2,75,9,6,0.643,23,0.421
chorus,43,6,290,176,147,125.43,35.033,261.7983,3613.0,1519.4,74,8,2,0.204,24,0.427
chorus,44,0,274,184,162,105.25,89.2334,478.8258,6741.8,2224.0,70,9,6,0.667,24,0.584
chorus,44,1,277,185,148,114.82,78.6712,431.5829,7804.2,3785.6,70,8,6,0.74,23,0.607
chorus,44,2,274,162,136,115.92,62.3917,401.4676,5942.4,3174.4,70,9,5,0.499,23,0.477
chorus,44,3,279,162,144,121.67,61.5371,385.3296,6628.4,2945.8,72,9,5,0.509,24,0.576
chorus,44,4,292,170,146,128.05,58.8026,350.858,5705.2,3463.8,75,7,4,0.499,24,0.501
chorus,44,5,297,173,150,126.44,73.2106,349.3493,8242.2,3587.0,76,10,8,0.785,24,0.454
chorus,44,6,288,179,154,124.05,60.576,322.8625,7111.4,2443.6,73,9,5,0.556,23,0.486
greedy_nearest,42,0,301,155,132,90.32,47.9899,528.3685,2479.6,1259.8,76,11,2,0.216,23,0.529
greedy_nearest,42,1,305,167,149,112.56,52.4773,499.5758,2493.6,1190.0,77,10,2,0.2,24,0.61
greedy_nearest,42,2,290,132,114,114.22,43.1827,448.2358,1824.6,1058.6,74,5,1,0.2,21,0.541
greedy_nearest,42,3,292,135,112,101.26,30.8215,432.1441,1692.6,1132.6,73,5,0,0.0,24,0.483
greedy_nearest,42,4,291,151,134,124.73,49.3012,432.7842,1598.0,791.0,74,8,1,0.125,23,0.638
greedy_nearest,42,5,288,122,109,101.3,32.9362,413.0994,2157.4,1318.2,75,8,0,0.037,23,0.491
greedy_nearest,42,6,296,143,122,121.09,38.1897,466.3194,1713.6,889.0,76,12,1,0.066,23,0.58
greedy_nearest,43,0,280,104,86,67.8,33.7298,344.6565,2415.0,1259.6,70,6,1,0.182,24,0.443
greedy_nearest,43,1,269,117,99,84.2,28.2699,283.8828,2162.6,1667.6,68,4,0,0.0,20,0.537
greedy_nearest,43,2,268,117,95,91.16,24.3891,321.0327,1523.4,1045.4,67,8,0,0.0,23,0.525
greedy_nearest,43,3,284,118,100,99.49,27.1875,312.8902,2755.6,1827.0,71,11,1,0.091,21,0.598
greedy_nearest,43,4,276,88,76,77.01,15.0,268.5701,1383.0,1003.0,69,5,0,0.0,18,0.489
greedy_nearest,43,5,292,112,93,80.03,25.0646,285.5014,2654.6,1605.8,73,9,2,0.222,23,0.421
greedy_nearest,43,6,277,120,100,92.07,19.901,276.9381,1677.6,1174.6,71,8,0,0.0,21,0.427
greedy_nearest,44,0,273,136,122,77.92,38.52,478.8258,1680.2,764.0,70,9,0,0.043,23,0.584
greedy_nearest,44,1,279,119,103,92.1,38.9249,441.4163,2384.6,1373.8,71,8,1,0.17,20,0.607
greedy_nearest,44,2,275,122,112,92.1,24.2731,420.6056,2168.2,1321.0,71,9,0,0.039,24,0.477
greedy_nearest,44,3,273,144,131,114.9,26.276,416.4269,1386.0,719.0,72,9,0,0.0,24,0.576
greedy_nearest,44,4,286,97,78,91.42,25.5883,391.3559,2770.0,2371.0,73,7,0,0.0,21,0.501
greedy_nearest,44,5,286,124,103,103.15,34.5192,395.0012,2672.4,1622.2,72,10,2,0.209,22,0.454
greedy_nearest,44,6,279,135,113,104.17,37.9513,373.5563,2690.4,1741.2,71,9,1,0.162,24,0.486
greedy_value,42,0,301,158,130,90.17,58.8931,528.3685,3921.6,1436.4,76,11,5,0.436,21,0.529
greedy_value,42,1,301,174,146,112.89,50.2025,489.9634,4193.6,2840.8,77,10,3,0.3,23,0.61
greedy_value,42,2,290,139,116,115.55,45.2609,441.8767,2590.4,1445.2,74,5,2,0.385,22,0.541
greedy_value,42,3,286,131,117,99.7,30.9774,419.5402,2219.4,1634.4,73,5,0,0.0,24,0.483
greedy_value,42,4,284,161,141,122.49,52.9693,443.0576,2207.4,1112.2,73,8,2,0.25,23,0.638
greedy_value,42,5,284,130,114,101.87,34.9902,455.2824,2695.2,1653.4,74,8,1,0.163,23,0.491
greedy_value,42,6,302,150,120,125.52,45.8534,479.5492,3165.4,1755.6,77,12,2,0.167,23,0.58
greedy_value,43,0,280,115,95,71.4,35.9865,344.6565,3177.6,1441.2,70,6,2,0.274,22,0.443
greedy_value,43,1,272,122,106,88.59,30.2664,279.586,2639.2,1647.6,69,4,1,0.25,24,0.537
greedy_value,43,2,269,118,96,98.32,29.6639,316.2247,2069.6,1225.8,68,8,1,0.125,24,0.525
greedy_value,43,3,292,123,95,99.1,24.4049,309.4445,5372.0,3737.0,73,11,2,0.225,18,0.598
greedy_value,43,4,280,95,76,83.27,14.4919,268.5018,1400.0,1020.0,70,5,0,0.0,19,0.489
greedy_value,43,5,291,107,94,81.28,29.6592,289.5527,4042.0,2161.0,74,9,4,0.35,23,0.421
greedy_value,43,6,279,119,99,94.25,20.293,282.9739,2257.8,1189.6,72,8,1,0.087,20,0.427
greedy_value,44,0,273,136,119,76.21,41.7013,478.8258,3305.2,1829.8,70,9,1,0.174,23,0.584
greedy_value,44,1,278,136,114,95.35,46.3012,431.5201,3939.4,2460.0,71,8,3,0.322,23,0.607
greedy_value,44,2,274,112,91,97.06,26.645,410.6815,3171.0,1424.0,72,9,2,0.172,22,0.477
greedy_value,44,3,277,144,127,111.72,29.6492,408.5521,2799.2,1654.6,72,9,0,0.078,24,0.576
greedy_value,44,4,283,98,77,91.99,26.878,385.1301,4195.8,3520.6,73,7,0,0.043,22,0.501
greedy_value,44,5,291,119,104,103.79,32.1638,388.1979,4162.4,2760.8,74,10,4,0.409,22,0.454
greedy_value,44,6,283,134,109,104.95,38.6721,371.2846,4116.8,2175.0,74,9,2,0.291,24,0.486
random,42,0,301,117,102,69.99,38.8484,528.3685,2163.6,1197.0,76,11,2,0.136,24,0.529
random,42,1,306,140,117,85.72,46.3363,505.6333,3573.6,1604.4,77,10,3,0.3,24,0.61
random,42,2,289,97,80,73.35,37.1648,459.3157,2237.8,1837.8,73,5,0,0.0,22,0.541
random,42,3,284,102,89,76.04,30.2918,444.319,1873.2,1428.2,71,5,0,0.0,23,0.483
random,42,4,283,118,102,84.81,41.4187,445.8288,1741.0,1101.0,72,8,1,0.125,22,0.638
random,42,5,289,98,81,72.82,34.5911,450.025,2123.4,1246.6,74,8,2,0.219,24,0.491
random,42,6,302,124,109,92.76,34.9422,475.8145,1941.6,1188.6,77,12,1,0.083,23,0.58
random,43,0,280,91,67,58.87,22.7,344.6565,2389.2,1518.2,70,6,2,0.255,23,0.443
random,43,1,273,104,89,66.21,21.2859,309.6571,2263.4,1632.6,69,4,0,0.096,24,0.537
random,43,2,276,113,98,73.51,23.269,334.0702,1383.0,890.0,69,8,0,0.0,24,0.525
