# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,272,177,147,103.58,66.5235,280.274,3742.2,1666.8,72,4,3,0.722,24,0.641
chorus,42,1,253,195,158,120.02,56.5261,247.0194,3350.0,1439.0,68,4,2,0.447,24,0.668
chorus,42,2,250,156,133,122.63,59.0253,238.4702,6845.4,3655.6,70,7,6,0.798,24,0.622
chorus,42,3,244,167,147,124.33,46.7703,217.2857,3620.0,1547.0,68,5,2,0.4,24,0.546
chorus,42,4,245,147,129,124.65,42.5687,204.7871,3860.2,2121.8,68,5,2,0.44,24,0.612
chorus,42,5,243,169,140,118.49,44.4115,211.6909,3724.2,1050.8,67,7,3,0.369,24,0.582
chorus,42,6,240,126,109,128.13,38.7353,203.2707,3166.4,1638.2,70,5,2,0.389,22,0.618
chorus,42,7,238,131,108,124.61,49.7543,208.8256,4578.4,2521.6,69,6,3,0.57,23,0.604
chorus,42,8,226,142,115,114.15,45.8994,213.6852,3820.0,2455.0,66,8,3,0.302,23,0.498
chorus,42,9,231,163,140,127.64,35.6189,174.0543,1530.2,830.2,67,4,0,0.0,24,0.593
chorus,42,10,230,169,142,126.51,58.929,222.5339,4322.2,2412.2,69,6,3,0.426,24,0.614
chorus,42,11,214,135,109,119.31,48.5353,196.6032,3047.0,1504.0,68,6,2,0.289,23,0.577
chorus,42,12,227,145,130,121.88,67.5967,205.3106,5179.2,1923.8,70,8,4,0.446,24,0.593
chorus,42,13,216,135,125,110.79,45.459,176.8698,3873.6,1139.6,70,5,3,0.518,24,0.428
chorus,43,0,261,149,132,92.27,39.5721,227.8716,2183.2,1301.4,73,4,1,0.25,24,0.455
chorus,43,1,252,180,151,118.95,42.3468,190.6663,3108.8,505.0,75,4,2,0.5,24,0.633
chorus,43,2,256,163,144,126.86,32.2161,181.9527,1817.6,1097.6,75,5,0,0.0,24,0.555
chorus,43,3,247,172,152,127.83,34.7986,179.4369,3045.4,1641.0,69,5,1,0.267,24,0.514
chorus,43,4,245,138,118,117.35,34.1689,191.5774,3796.2,2064.2,74,8,3,0.299,24,0.454
chorus,43,5,232,137,115,129.37,29.716,160.5337,1160.0,585.0,68,5,0,0.0,24,0.428
chorus,43,6,246,170,144,132.47,31.145,155.4393,2273.2,770.8,72,4,1,0.236,24,0.502
chorus,43,7,227,173,147,126.51,32.5306,155.0625,3827.0,1213.6,71,5,3,0.6,24,0.586
chorus,43,8,216,154,136,115.31,20.6761,159.3655,2691.8,2008.8,72,6,0,0.0,23,0.473
chorus,43,9,214,151,125,122.87,22.3359,140.605,1876.2,1047.4,71,4,0,0.071,24,0.621
chorus,43,10,219,135,111,120.9,23.5003,158.9696,1910.2,1196.4,73,5,1,0.2,24,0.512
chorus,43,11,208,156,132,120.58,33.2988,150.3873,2989.6,1128.2,70,4,2,0.438,23,0.561
chorus,43,12,212,153,132,123.45,53.8879,197.333,2911.8,1156.0,74,5,2,0.4,24,0.695
chorus,43,13,199,128,112,107.65,34.9147,197.1454,2856.6,1028.6,74,5,2,0.367,23,0.488
chorus,44,0,276,150,132,95.02,50.6138,267.8427,4706.8,3431.2,73,6,2,0.333,21,0.512
chorus,44,1,255,169,153,113.86,49.3037,227.3875,3670.2,1732.8,68,6,3,0.446,23,0.574
chorus,44,2,256,138,125,115.68,44.1127,208.8102,2653.8,1235.2,68,6,2,0.333,24,0.417
chorus,44,3,264,155,139,131.77,38.5089,186.6073,4523.4,2550.4,70,6,4,0.627,23,0.566
chorus,44,4,240,164,141,125.46,32.0989,178.7182,2908.4,1086.6,68,6,2,0.296,24,0.486
chorus,44,5,247,158,137,126.82,38.1993,172.9556,4098.6,1403.6,70,6,4,0.544,24,0.553
chorus,44,6,233,138,125,121.84,27.1862,162.55,2085.6,897.2,67,4,1,0.211,24,0.498
chorus,44,7,221,127,112,118.99,18.1643,150.9836,1309.4,749.4,65,3,0,0.0,24,0.554
chorus,44,8,212,127,113,115.66,23.4374,153.0909,1185.8,620.8,67,2,0,0.0,22,0.543
chorus,44,9,211,119,100,106.06,24.1492,176.1695,1427.4,575.0,66,6,2,0.323,23,0.455
chorus,44,10,212,142,126,109.41,28.6941,156.3047,2166.2,1014.4,70,4,1,0.25,24,0.516
chorus,44,11,203,141,125,109.12,25.0164,183.908,3382.2,990.0,67,10,3,0.369,22,0.588
chorus,44,12,196,117,102,108.41,29.9424,170.3833,3335.6,1757.8,66,5,1,0.271,23,0.489
chorus,44,13,193,86,72,101.4,21.2114,165.5796,2137.2,1380.4,64,4,0,0.107,22,0.455
greedy_nearest,42,0,276,162,141,92.72,40.2962,280.274,2240.8,1297.2,72,4,1,0.221,23,0.641
greedy_nearest,42,1,255,144,120,94.2,29.3421,250.6034,1665.8,870.4,69,4,1,0.178,24,0.668
greedy_nearest,42,2,264,128,113,111.12,32.7657,253.3914,2519.0,1461.2,71,7,2,0.222,23,0.622
greedy_nearest,42,3,255,106,91,94.55,23.2384,238.2017,1755.2,1058.6,68,5,0,0.071,23,0.546
