# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,267,166,143,100.06,73.982,291.6543,4015.8,1543.2,71,4,3,0.695,24,0.609
chorus,42,1,245,191,168,118.46,63.6971,257.6883,3543.8,1349.0,67,4,3,0.641,24,0.688
chorus,42,2,250,159,141,128.27,63.9514,251.1154,6601.0,3704.4,69,7,5,0.657,23,0.652
chorus,42,3,243,162,145,127.63,59.2936,230.2906,3807.4,1398.0,68,5,3,0.6,23,0.541
chorus,42,4,242,144,127,128.7,51.5878,217.4181,3785.2,2014.8,68,5,2,0.427,23,0.64
chorus,42,5,235,152,143,118.93,53.4315,245.6868,3816.0,2317.0,64,7,2,0.204,24,0.594
chorus,42,6,246,125,106,132.95,43.3853,212.9547,2959.0,1429.0,69,5,2,0.389,23,0.582
chorus,43,0,261,142,132,86.35,35.5831,227.878,2186.2,1301.4,74,4,1,0.233,23,0.398
chorus,43,1,254,170,148,117.04,34.2762,192.3536,1993.6,790.8,75,4,1,0.188,23,0.556
chorus,43,2,254,175,148,133.23,39.0001,185.9448,2592.8,1067.6,76,5,2,0.308,24,0.6
chorus,43,3,252,181,160,129.53,43.2637,186.2826,3010.4,912.6,73,5,2,0.4,24,0.589
chorus,43,4,241,112,99,119.75,25.0954,188.0451,3836.2,2627.2,73,8,2,0.195,24,0.396
chorus,43,5,232,132,119,121.68,28.8285,158.9912,1160.0,565.0,69,5,0,0.0,24,0.409
chorus,43,6,241,164,140,129.87,23.8271,150.7306,2251.2,1026.6,73,4,1,0.167,24,0.488
chorus,44,0,277,135,112,92.0,49.9587,267.8418,4351.6,2736.0,75,6,4,0.625,22,0.476
chorus,44,1,258,169,154,109.63,51.4807,230.5434,3748.2,1478.4,69,6,3,0.474,24,0.57
chorus,44,2,259,136,122,115.97,46.1812,202.2362,2243.8,1056.6,67,5,2,0.4,23,0.433
chorus,44,3,254,158,136,128.52,36.2617,186.06,3656.0,2071.4,71,5,2,0.442,24,0.571
chorus,44,4,249,158,139,123.69,34.7106,179.6785,3731.4,2325.6,68,6,2,0.385,24,0.474
chorus,44,5,249,153,138,117.63,38.4918,169.0799,3910.2,1215.0,69,6,3,0.449,24,0.424
chorus,44,6,245,152,141,133.57,35.2015,164.6591,2836.8,751.4,67,4,2,0.461,24,0.479
greedy_value,42,0,264,138,121,83.75,43.6262,291.6543,3090.8,1798.8,72,4,2,0.387,23,0.609
greedy_value,42,1,247,122,109,91.6,37.8886,262.2639,2250.4,1314.6,66,4,1,0.25,24,0.688
greedy_value,42,2,258,139,117,108.25,42.0697,264.4369,4153.8,1913.0,71,7,4,0.508,20,0.652
greedy_value,42,3,245,112,97,96.54,29.1721,248.6796,2490.4,1766.8,67,5,0,0.071,20,0.541
greedy_value,42,4,258,129,114,108.65,42.988,241.8302,2924.0,1024.4,70,5,2,0.475,22,0.64
greedy_value,42,5,255,112,97,99.09,33.0152,269.6223,2480.6,1468.4,70,7,1,0.186,22,0.594
greedy_value,42,6,265,115,92,118.04,29.6693,239.6718,1799.8,1102.4,71,5,1,0.2,24,0.582
greedy_value,43,0,264,89,81,64.81,19.9922,227.878,2201.2,1355.6,74,4,1,0.133,21,0.398
greedy_value,43,1,267,144,123,93.79,25.8548,200.2717,1569.4,723.0,77,4,1,0.188,24,0.556
greedy_value,43,2,266,156,134,115.01,34.1253,198.989,2096.0,1021.4,74,5,1,0.186,23,0.6
greedy_value,43,3,264,157,134,116.75,32.7335,200.3309,2240.2,913.8,74,5,2,0.329,22,0.589
greedy_value,43,4,268,83,75,91.16,12.1925,201.6558,2780.0,2144.2,76,8,0,0.035,23,0.396
greedy_value,43,5,256,93,81,91.08,19.554,172.9847,1283.0,878.0,71,5,0,0.0,22,0.409
greedy_value,43,6,258,138,110,112.82,18.3694,168.1004,1293.0,743.0,72,4,0,0.0,24,0.488
greedy_value,44,0,282,124,108,75.93,39.5596,267.8418,3264.0,2306.8,72,6,2,0.25,21,0.476
greedy_value,44,1,272,130,113,97.08,31.5592,232.2893,2841.2,1583.8,69,6,2,0.333,24,0.57
greedy_value,44,2,273,117,106,103.06,34.5305,205.3451,1939.2,835.0,70,5,2,0.4,22,0.433
greedy_value,44,3,270,113,95,108.86,29.1706,196.5623,2749.8,1370.2,69,5,2,0.442,23,0.571
greedy_value,44,4,267,104,89,89.1,21.0588,193.9416,2779.0,2029.6,69,6,1,0.167,20,0.474
greedy_value,44,5,268,105,93,95.75,21.8729,187.4465,3151.6,2021.8,68,6,3,0.39,21,0.424
greedy_value,44,6,270,119,106,107.26,24.4347,184.9331,2192.0,1054.4,69,4,1,0.217,22,0.479
legacy,42,0,600,290,248,171.83,55.1259,291.6543,3000.0,1760.0,72,4,0,0.0,24,0.609
legacy,42,1,600,327,283,222.32,53.6032,255.4236,3000.0,1585.0,67,4,0,0.0,24,0.688
legacy,42,2,600,285,238,233.85,42.0229,247.4014,3247.6,1819.0,71,7,0,0.067,24,0.652
legacy,42,3,600,242,202,225.53,31.0077,221.5422,3238.6,2228.6,68,5,0,0.0,24,0.541
legacy,42,4,600,267,242,245.26,36.0085,207.2102,3006.0,1790.0,70,5,0,0.0,24,0.64
legacy,42,5,600,288,247,241.53,50.0902,231.6,3012.0,1771.0,71,7,0,0.0,24,0.594
legacy,42,6,600,230,196,244.33,28.1277,198.8069,3266.2,2283.2,71,5,0,0.0,24,0.582
