# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,268,169,119,100.78,47.3408,280.291,4020.8,1906.8,71,4,3,0.695,24,0.609
chorus,42,1,247,172,129,109.24,41.5096,251.0683,3553.8,1821.4,67,4,3,0.641,24,0.688
chorus,42,2,248,166,122,111.97,42.8528,250.6023,6113.2,3493.8,69,7,4,0.515,23,0.652
chorus,42,3,246,167,126,112.99,42.7315,229.5318,3668.4,1800.0,68,5,3,0.553,24,0.541
chorus,42,4,246,146,108,114.43,30.3643,217.8569,3805.2,2342.0,68,5,1,0.293,24,0.64
chorus,42,5,239,150,118,108.52,37.6059,251.4639,3525.6,2343.4,66,7,1,0.123,23,0.594
chorus,42,6,243,122,89,115.76,32.7243,222.1677,2706.6,2007.4,67,5,1,0.189,23,0.582
chorus,42,7,247,126,91,118.1,34.8504,226.3143,5158.2,3738.6,69,6,3,0.474,21,0.632
chorus,42,8,236,137,103,108.14,34.4788,234.8707,4244.2,2736.0,66,8,3,0.389,24,0.501
chorus,42,9,238,162,124,117.16,33.8741,198.4816,1505.2,570.0,66,4,1,0.25,24,0.576
chorus,42,10,241,186,137,120.74,59.0369,245.2134,4370.2,2077.4,68,6,3,0.426,22,0.662
chorus,42,11,237,132,95,111.86,34.0784,217.1276,2778.2,1926.2,70,6,2,0.321,23,0.545
chorus,42,12,247,156,118,116.87,48.7387,223.385,5491.4,2462.0,71,8,5,0.528,23,0.649
chorus,42,13,236,132,92,102.42,38.0698,195.7093,4386.0,2303.8,73,5,3,0.371,22,0.407
chorus,43,0,261,142,111,86.35,27.528,227.878,2186.2,1409.4,74,4,1,0.233,23,0.398
chorus,43,1,257,164,120,109.69,23.3573,195.1108,2008.6,945.8,77,4,1,0.188,24,0.556
chorus,43,2,257,174,125,116.64,30.8933,193.8882,2428.0,1197.6,76,5,1,0.2,24,0.6
chorus,43,3,248,178,126,116.5,34.1418,200.5916,2996.4,1263.4,72,5,2,0.4,24,0.589
chorus,43,4,252,119,89,104.66,22.0544,215.0769,3894.2,2735.2,73,8,2,0.195,24,0.396
chorus,43,5,235,127,96,107.29,25.8618,188.9655,1181.0,698.0,67,5,0,0.0,21,0.409
chorus,43,6,252,174,119,115.86,27.2266,180.7857,2309.2,1186.6,73,4,1,0.167,24,0.488
chorus,43,7,246,186,145,117.14,29.2278,178.8454,3365.6,1029.6,71,5,2,0.4,24,0.585
chorus,43,8,240,166,132,109.98,24.3197,185.8324,3441.8,2539.6,71,6,1,0.098,24,0.464
chorus,43,9,239,171,125,121.72,23.1542,165.6096,2067.2,1238.4,71,4,0,0.071,24,0.6
chorus,43,10,226,132,89,107.5,17.7528,177.1812,2023.2,1566.2,71,5,0,0.0,22,0.473
chorus,43,11,236,173,132,115.25,35.485,200.7985,3368.8,1234.6,73,4,2,0.417,23,0.544
chorus,43,12,243,158,123,120.78,39.6657,215.6944,3024.8,1101.2,76,5,2,0.4,24,0.673
chorus,43,13,211,143,96,101.61,28.4896,218.3852,3201.4,1708.2,70,5,2,0.4,23,0.468
chorus,44,0,277,135,88,92.0,33.4651,267.8418,4351.6,3306.8,75,6,3,0.5,21,0.476
chorus,44,1,260,160,110,102.91,32.1753,234.8885,3761.2,2128.6,70,6,2,0.333,23,0.57
chorus,44,2,260,143,104,104.25,34.5698,211.0441,2245.8,1151.6,69,5,2,0.4,24,0.433
chorus,44,3,258,159,119,112.77,29.1379,198.911,3679.0,2464.8,71,5,2,0.362,23,0.571
chorus,44,4,252,147,111,112.31,24.874,193.9542,3598.8,2572.0,70,6,1,0.242,22,0.474
chorus,44,5,252,155,114,104.33,30.351,186.099,3938.2,1654.4,69,6,3,0.449,23,0.424
chorus,44,6,251,149,121,116.25,23.9971,176.7059,2898.8,1093.2,67,4,2,0.461,23,0.479
chorus,44,7,241,130,90,113.53,15.7689,164.8766,1231.0,768.0,69,3,0,0.0,23,0.54
chorus,44,8,226,133,96,103.11,18.0077,165.7572,1759.2,1093.4,65,2,1,0.462,24,0.519
chorus,44,9,224,149,107,96.54,20.0213,192.5713,1893.8,776.8,66,6,2,0.323,24,0.456
chorus,44,10,234,161,119,105.98,23.9986,172.8007,2209.2,934.0,70,4,2,0.438,24,0.529
chorus,44,11,229,132,97,102.97,18.7583,201.6574,5260.2,2583.6,67,10,3,0.326,23,0.549
chorus,44,12,215,123,96,98.52,21.519,186.7516,2946.8,1597.4,65,5,2,0.37,23,0.44
chorus,44,13,210,80,55,90.73,13.7582,181.9077,2019.2,1545.8,64,4,0,0.107,19,0.36
greedy_nearest,42,0,268,143,104,85.65,25.4765,280.291,2455.0,1935.0,72,4,0,0.0,18,0.609
