# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,222,152,130,76.66,58.8402,325.4895,4095.2,1286.0,59,4,3,0.75,24,0.497
chorus,42,1,206,137,117,93.17,44.2293,302.049,3876.4,1597.2,56,4,2,0.61,24,0.656
chorus,42,2,213,126,111,98.02,44.657,304.3909,6024.8,4194.2,56,7,4,0.54,22,0.597
chorus,42,3,208,116,99,94.68,41.9156,283.0793,3489.2,1299.0,56,5,4,0.8,24,0.413
chorus,42,4,207,138,116,104.75,36.0609,273.2333,2903.6,879.4,56,5,2,0.387,24,0.665
chorus,42,5,199,127,115,104.08,45.2102,304.2406,1889.4,897.2,55,7,1,0.092,24,0.623
chorus,42,6,209,113,94,107.3,40.0732,275.3694,3648.0,1982.6,58,5,3,0.562,21,0.543
chorus,42,7,194,106,97,97.64,37.4459,280.3071,4625.8,1835.6,56,6,2,0.478,22,0.569
chorus,42,8,186,109,96,90.19,39.058,288.8987,3774.8,2196.0,52,8,3,0.306,24,0.411
chorus,42,9,183,123,102,97.29,35.9717,252.3929,1293.2,783.2,55,4,0,0.0,21,0.497
chorus,42,10,186,141,121,100.18,58.7938,301.7076,4582.6,1914.2,56,6,4,0.667,23,0.614
chorus,42,11,178,100,85,93.78,31.2514,272.7913,1816.6,1391.6,53,6,0,0.0,22,0.52
chorus,42,12,191,119,103,102.49,57.2876,282.5723,5541.4,3018.0,53,8,4,0.418,24,0.653
chorus,42,13,169,100,86,81.08,38.0384,256.4589,3679.4,2075.0,56,5,2,0.388,23,0.372
chorus,43,0,219,123,111,70.81,27.2435,295.1383,1970.2,977.6,61,3,1,0.333,23,0.391
chorus,43,1,210,138,121,93.32,28.0295,275.2867,1832.4,705.8,62,4,1,0.236,24,0.593
chorus,43,2,205,140,125,97.35,25.1471,270.8008,1970.8,944.2,62,5,1,0.2,24,0.497
chorus,43,3,199,134,113,98.64,26.1835,272.3626,2625.4,1083.4,63,5,2,0.3,24,0.456
chorus,43,4,200,116,101,97.07,20.9187,290.3764,3176.8,1764.8,60,8,1,0.156,22,0.452
chorus,43,5,189,100,86,96.26,14.5535,262.1951,948.0,515.0,57,5,0,0.0,24,0.383
chorus,43,6,184,112,98,95.33,14.4456,261.2156,1963.2,1212.4,58,4,1,0.167,22,0.452
chorus,43,7,186,139,117,96.47,20.2563,264.9648,2728.0,888.2,57,5,2,0.368,23,0.579
chorus,43,8,182,117,101,93.6,12.3081,276.718,3320.2,2396.8,58,6,1,0.167,22,0.402
chorus,43,9,174,117,97,93.78,14.7064,259.3183,1796.2,1047.4,56,4,1,0.25,21,0.53
chorus,43,10,175,98,78,87.64,16.0855,267.3329,1696.2,922.6,56,5,1,0.2,23,0.39
chorus,43,11,175,107,88,87.85,19.5307,255.6316,2764.6,1183.2,58,4,2,0.458,24,0.428
chorus,43,12,174,124,106,99.1,21.6969,264.3756,1922.2,609.8,56,5,1,0.2,24,0.655
chorus,43,13,169,112,96,90.83,24.8608,262.9794,2862.4,1111.4,60,5,2,0.4,22,0.507
chorus,44,0,225,132,119,72.86,51.5096,360.9643,3472.2,1322.4,57,6,3,0.5,22,0.376
chorus,44,1,217,142,124,101.03,41.1404,326.4657,3480.2,1692.6,56,6,2,0.304,23,0.595
chorus,44,2,208,127,116,99.29,39.7432,295.4977,1783.2,645.8,55,5,1,0.2,24,0.5
chorus,44,3,209,133,120,110.76,27.8143,284.6815,1764.2,445.0,54,5,1,0.2,22,0.616
chorus,44,4,194,128,117,101.51,29.7718,282.1431,3273.6,1165.4,54,6,3,0.5,21,0.521
chorus,44,5,197,120,113,93.03,31.5536,277.2251,2493.6,608.8,54,6,2,0.322,24,0.338
chorus,44,6,192,123,106,104.02,18.8893,264.8787,2397.4,1264.4,52,4,2,0.336,22,0.468
chorus,44,7,177,103,90,97.83,12.0175,257.0347,885.0,435.0,50,3,0,0.0,23,0.545
chorus,44,8,166,102,87,87.34,16.6482,259.8497,1333.2,772.4,51,2,0,0.167,23,0.457
chorus,44,9,172,108,98,88.62,23.2692,283.3782,1624.8,370.0,52,6,2,0.323,23,0.428
chorus,44,10,176,122,105,95.25,24.2747,262.3373,1933.4,816.4,54,4,2,0.5,24,0.583
chorus,44,11,162,120,103,85.02,25.7103,292.307,4169.2,1838.0,50,10,4,0.388,23,0.519
chorus,44,12,148,90,77,83.61,12.3765,256.1999,1826.4,928.2,49,5,1,0.162,21,0.512
chorus,44,13,143,71,62,78.06,12.9498,250.1725,1359.8,697.4,47,4,2,0.319,21,0.441
greedy_nearest,42,0,227,112,101,62.7,34.0077,325.4895,2428.6,1252.2,58,4,2,0.486,22,0.497
greedy_nearest,42,1,212,104,93,72.53,25.8279,306.2736,1724.2,793.4,54,4,2,0.428,24,0.656
greedy_nearest,42,2,226,96,87,83.86,19.5811,309.6954,1637.8,1202.8,58,7,0,0.0,20,0.597
