# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,268,51,26,100.78,12.418,280.291,4020.8,3890.8,71,4,0,0.0,13,0.609
chorus,42,1,259,72,35,93.27,18.6916,281.3961,3613.8,3243.4,69,4,1,0.197,17,0.688
chorus,42,2,261,64,37,85.6,27.3161,279.9778,6748.2,5532.2,70,7,5,0.605,16,0.652
chorus,42,3,251,66,33,80.53,14.8938,266.6382,3847.4,3271.8,68,5,0,0.151,17,0.541
chorus,42,4,255,64,28,78.86,10.592,265.9456,3850.2,3498.0,68,5,1,0.133,15,0.64
chorus,42,5,248,59,25,73.17,13.9425,283.5786,3452.0,3327.0,66,7,0,0.0,17,0.594
chorus,42,6,262,29,17,69.65,8.0281,264.1923,3191.2,2868.8,71,5,1,0.2,9,0.582
chorus,42,7,258,37,22,66.5,12.382,271.9917,5273.2,5163.2,68,6,0,0.0,17,0.632
chorus,42,8,252,49,22,61.86,13.7763,306.4168,4476.4,4127.8,66,8,0,0.059,11,0.501
chorus,42,9,250,64,32,63.28,11.45,274.9642,1407.6,1247.6,65,4,0,0.0,15,0.576
chorus,42,10,262,45,33,65.6,31.4693,328.3689,4687.4,4268.2,69,6,1,0.093,13,0.662
chorus,42,11,261,51,25,64.94,10.4721,299.9116,3102.0,2798.4,70,6,1,0.167,15,0.545
chorus,42,12,261,80,34,66.56,33.1848,312.0583,5621.4,4766.2,70,8,3,0.278,13,0.649
chorus,42,13,260,51,26,54.76,13.5272,281.5807,4560.0,4222.6,69,5,1,0.187,16,0.407
chorus,43,0,261,34,14,86.35,7.1108,227.878,2186.2,1897.4,74,4,1,0.233,10,0.398
chorus,43,1,265,54,28,87.8,9.68,223.834,2054.6,1683.2,76,4,1,0.188,16,0.556
chorus,43,2,269,50,24,90.97,13.3737,227.6564,2673.8,2149.2,79,5,1,0.2,16,0.6
chorus,43,3,261,63,30,82.09,18.1846,239.2655,3055.4,2521.8,72,5,1,0.2,17,0.589
chorus,43,4,248,45,31,65.09,11.2789,260.3886,3871.2,3455.4,71,8,1,0.07,17,0.396
chorus,43,5,239,47,22,65.34,8.1698,235.1356,1198.0,1088.0,66,5,0,0.0,14,0.409
chorus,43,6,259,52,24,70.85,12.4208,234.9078,2338.2,2218.2,70,4,0,0.0,15,0.488
chorus,43,7,256,61,41,69.55,16.7289,238.3345,3630.8,3154.2,70,5,1,0.2,19,0.585
chorus,43,8,259,46,34,65.22,14.9148,243.6963,3523.8,3353.8,74,6,0,0.0,17,0.464
chorus,43,9,267,67,35,75.6,16.4667,234.7496,2201.2,2026.2,74,4,0,0.0,15,0.6
chorus,43,10,248,37,17,61.89,6.4423,235.1388,2115.2,2030.2,70,5,0,0.0,10,0.473
chorus,43,11,265,44,19,69.37,14.0465,256.309,3495.8,3400.8,74,4,0,0.0,15,0.544
chorus,43,12,270,62,39,69.89,30.2454,253.9939,2977.4,1915.0,77,5,2,0.4,14,0.673
chorus,43,13,256,63,30,61.4,20.2498,278.8929,3414.4,3021.6,71,5,1,0.2,16,0.468
chorus,44,0,277,39,16,92.0,9.4789,267.8418,4351.6,4043.2,75,6,1,0.167,8,0.476
chorus,44,1,272,63,29,95.55,14.8434,260.6369,3821.2,3259.0,71,6,2,0.308,16,0.57
chorus,44,2,263,84,43,79.08,24.9622,243.5856,2260.8,1860.0,71,5,1,0.2,22,0.433
chorus,44,3,264,52,25,80.75,10.637,238.4747,3646.0,3066.0,72,5,1,0.225,14,0.571
chorus,44,4,258,53,24,77.56,10.4672,238.7106,3902.4,3779.4,67,6,0,0.0,14,0.474
chorus,44,5,260,47,26,65.28,16.7552,243.4607,3959.2,3164.4,71,6,3,0.4,15,0.424
chorus,44,6,260,39,19,68.31,8.8422,240.088,2908.8,2396.6,68,4,0,0.174,13,0.479
chorus,44,7,255,45,23,72.59,7.9883,233.6484,1278.0,1163.0,68,3,0,0.0,13,0.54
chorus,44,8,251,54,33,64.3,11.6738,230.6584,1891.2,1726.2,67,2,0,0.0,19,0.519
chorus,44,9,240,56,30,56.18,10.2144,265.3494,1967.8,1591.2,66,6,1,0.156,12,0.456
chorus,44,10,255,60,34,64.49,15.4989,245.4728,2483.6,1992.4,69,4,1,0.2,17,0.529
chorus,44,11,250,47,27,60.76,12.7129,274.943,5350.2,4988.6,68,10,1,0.081,15,0.549
chorus,44,12,252,55,26,59.18,7.6663,236.873,3132.8,3002.8,67,5,0,0.0,18,0.44
chorus,44,13,243,34,11,55.23,3.6696,231.5445,2182.2,1928.8,63,4,0,0.107,8,0.36
greedy_nearest,42,0,268,47,27,85.65,7.5252,280.291,2455.0,2320.0,72,4,0,0.0,12,0.609
greedy_nearest,42,1,258,65,37,71.76,12.116,281.2513,1680.8,1495.8,69,4,0,0.0,17,0.688
greedy_nearest,42,2,267,44,22,69.85,12.7055,288.9134,2534.0,1991.2,71,7,2,0.222,13,0.652
greedy_nearest,42,3,255,50,27,54.41,10.9417,283.0353,1752.2,1378.6,69,5,0,0.071,16,0.541
greedy_nearest,42,4,272,43,18,62.83,6.0086,282.547,2032.0,1942.0,71,5,0,0.0,10,0.64
greedy_nearest,42,5,259,41,20,51.26,8.0781,297.6241,1790.6,1690.6,69,7,0,0.0,15,0.594
greedy_nearest,42,6,269,38,14,58.96,5.9679,269.9,1351.0,1281.0,70,5,0,0.0,8,0.582
greedy_nearest,42,7,260,34,15,52.24,6.8506,280.0169,2735.8,2660.8,69,6,0,0.0,10,0.632
greedy_nearest,42,8,255,52,30,51.33,7.541,290.3126,2112.4,1959.4,69,8,0,0.0,14,0.501
greedy_nearest,42,9,262,51,27,49.9,9.256,256.4837,1316.0,1178.0,68,4,0,0.0,16,0.576
greedy_nearest,42,10,267,32,22,53.55,10.8043,307.471,2003.4,1893.4,71,6,0,0.0,11,0.662
greedy_nearest,42,11,267,31,16,46.62,4.3932,307.6046,1943.2,1863.2,71,6,0,0.0,9,0.545
greedy_nearest,42,12,268,59,36,54.08,15.1538,319.8995,2698.4,2058.6,73,8,2,0.177,17,0.649
greedy_nearest,42,13,270,31,15,42.27,3.9875,294.6317,1779.8,1701.8,72,5,0,0.0,11,0.407
greedy_nearest,43,0,269,20,9,65.33,2.1146,227.878,1794.6,1749.6,74,4,0,0.0,9,0.398
greedy_nearest,43,1,281,39,21,76.03,5.3811,224.5912,1421.0,1313.0,79,4,0,0.0,12,0.556
greedy_nearest,43,2,269,49,31,75.78,10.0095,228.8499,1545.8,1390.8,75,5,0,0.0,16,0.6
greedy_nearest,43,3,269,52,25,66.8,8.0429,243.1086,1806.6,1681.6,74,5,0,0.0,15,0.589
greedy_nearest,43,4,273,26,16,47.2,4.4108,260.6525,2113.2,2033.2,75,8,0,0.0,8,0.396
greedy_nearest,43,5,263,35,19,42.58,6.4117,246.0908,1327.0,1232.0,72,5,0,0.0,14,0.409
greedy_nearest,43,6,264,43,20,52.23,9.7694,248.6022,1323.0,1223.0,73,4,0,0.0,10,0.488
greedy_nearest,43,7,263,45,22,51.98,9.5197,252.1481,1785.6,1471.8,72,5,0,0.086,14,0.585
greedy_nearest,43,8,271,44,24,47.27,9.4007,266.2528,2074.4,1954.4,74,6,0,0.0,16,0.464
greedy_nearest,43,9,279,51,22,56.96,5.9395,250.1157,1664.8,1554.8,77,4,0,0.0,12,0.6
greedy_nearest,43,10,270,27,13,42.4,3.5988,253.722,1571.8,1506.8,75,5,0,0.0,9,0.473
greedy_nearest,43,11,273,40,20,52.5,5.8633,243.4789,1381.0,1281.0,75,4,0,0.0,12,0.544
greedy_nearest,43,12,283,67,34,61.93,11.0481,241.1732,1862.2,1520.8,77,5,1,0.2,15,0.673
greedy_nearest,43,13,283,37,14,46.51,10.6319,291.6238,2005.6,1935.6,79,5,0,0.0,11,0.468
greedy_nearest,44,0,281,31,10,73.38,3.7189,267.8418,2012.8,1962.8,73,6,0,0.0,6,0.476
greedy_nearest,44,1,276,36,16,65.73,3.8103,262.6871,1809.2,1729.2,70,6,0,0.0,11,0.57
greedy_nearest,44,2,275,58,28,60.53,13.9088,250.2899,1560.8,1235.0,72,5,1,0.2,16,0.433
greedy_nearest,44,3,277,34,18,56.23,6.0218,246.3468,2075.0,1985.0,71,5,0,0.0,13,0.571
greedy_nearest,44,4,259,41,21,40.13,8.5169,256.881,1483.2,1378.2,66,6,0,0.0,14,0.474
greedy_nearest,44,5,280,44,30,49.29,7.7747,269.2605,2546.8,2393.8,72,6,0,0.0,16,0.424
greedy_nearest,44,6,262,36,23,47.28,8.2452,250.2603,1447.8,1332.8,67,4,0,0.0,12,0.479
greedy_nearest,44,7,264,41,22,56.15,5.2843,243.214,1326.0,1213.0,69,3,0,0.0,12,0.54
greedy_nearest,44,8,256,27,12,47.65,3.7765,247.4936,1296.0,1236.0,66,2,0,0.0,8,0.519
greedy_nearest,44,9,254,45,18,42.33,5.7724,289.0272,1480.8,1390.8,67,6,0,0.0,10,0.456
greedy_nearest,44,10,264,43,21,48.04,7.7371,269.6416,1885.6,1780.6,70,4,0,0.0,13,0.529
greedy_nearest,44,11,277,36,22,45.57,7.7776,299.1401,2837.6,2501.0,71,10,1,0.081,13,0.549
greedy_nearest,44,12,269,42,21,43.68,6.4661,262.5947,2144.6,2036.6,70,5,0,0.0,12,0.44
greedy_nearest,44,13,259,11,4,30.64,3.3079,255.9345,1691.8,1473.4,66,4,0,0.107,3,0.36
greedy_value,42,0,267,47,26,84.84,11.932,280.291,3105.8,2781.6,72,4,0,0.107,13,0.609
greedy_value,42,1,258,52,26,70.22,9.8713,276.8516,2305.4,2175.4,69,4,0,0.0,14,0.688
greedy_value,42,2,267,52,24,64.83,20.3219,297.4374,4481.2,3211.4,71,7,4,0.508,11,0.652
greedy_value,42,3,254,51,27,52.87,10.1881,274.9706,2532.4,2158.8,68,5,0,0.071,14,0.541
greedy_value,42,4,266,43,22,59.71,5.7911,273.8371,3171.4,3061.4,70,5,0,0.0,14,0.64
greedy_value,42,5,256,39,22,52.09,9.424,315.6092,2485.6,2183.8,70,7,1,0.082,12,0.594
greedy_value,42,6,266,39,18,56.98,13.0258,287.0055,1807.8,1480.4,70,5,1,0.2,11,0.582
greedy_value,42,7,261,31,11,54.24,4.9163,296.6852,3454.0,3399.0,69,6,0,0.0,6,0.632
greedy_value,42,8,260,50,21,51.29,10.1159,307.7384,2927.4,2583.8,70,8,1,0.088,11,0.501
greedy_value,42,9,262,52,28,47.63,14.6118,280.9349,1476.6,1336.6,69,4,0,0.0,13,0.576
greedy_value,42,10,267,30,14,51.09,6.5454,300.0866,3797.2,3720.2,70,6,0,0.0,9,0.662
greedy_value,42,11,266,43,23,46.26,7.0453,277.8536,2700.6,2582.6,71,6,0,0.0,10,0.545
greedy_value,42,12,272,63,33,54.56,17.2252,289.9686,4797.6,4201.6,72,8,2,0.167,15,0.649
greedy_value,42,13,269,24,14,40.76,5.4146,263.8082,3157.0,3087.0,73,5,0,0.0,9,0.407
greedy_value,43,0,264,25,12,64.81,2.0684,227.878,2201.2,2138.2,74,4,0,0.0,11,0.398
